"","Location","Sample","logMFI","Dilution","antigen","file_name","flagged_run","date_plate","min","max","lower_bound","upper_bound","Flag","Conc","trim_lo","trim_up"
"Rh220_1.59","59(1,C8)","NS1238",4.21950770517611,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.010315261944254,3.80666248977032,9.22413395452614
"Rh220_1.60","60(1,D8)","NS1219",4.8283137373023,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0150891168825757,3.80666248977032,9.22413395452614
"Rh220_1.61","61(1,E8)","NS2220",7.90544164906029,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0989720622597658,3.80666248977032,9.22413395452614
"Rh220_1.62","62(1,F8)","NS2179",5.97888576490112,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0295510844120239,3.80666248977032,9.22413395452614
"Rh220_1.63","63(1,G8)","NS1277",5.89989735358249,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0282381257638238,3.80666248977032,9.22413395452614
"Rh220_1.64","64(1,H8)","NS2197",7.20340552108309,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0612460256421187,3.80666248977032,9.22413395452614
"Rh220_1.65","65(1,A9)","NS1071",6.3919171133926,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0375239865400381,3.80666248977032,9.22413395452614
"Rh220_1.66","66(1,B9)","NS1250",6.04025471127741,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0306138379834518,3.80666248977032,9.22413395452614
"Rh220_1.67","67(1,C9)","NS1261",6.47620283611065,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0394179235760594,3.80666248977032,9.22413395452614
"Rh220_1.68","68(1,D9)","NS2198",6.50128967054039,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0400018105820553,3.80666248977032,9.22413395452614
"Rh220_1.69","69(1,E9)","NS1107",4.18965474202643,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0101169547179721,3.80666248977032,9.22413395452614
"Rh220_1.70","70(1,F9)","NS1177",4.44265125649032,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0118964625279621,3.80666248977032,9.22413395452614
"Rh220_1.71","71(1,G9)","NS2112",7.87530930479383,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0967750892294527,3.80666248977032,9.22413395452614
"Rh220_1.72","72(1,H9)","NS2100",4.06044301054642,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.00929243091572602,3.80666248977032,9.22413395452614
"Rh220_1.73","73(1,A10)","NS1123",5.50329694723457,1000,"Rh220","p1_copy.csv","",NA,3.80666248977032,9.79062178941038,NA,9.22413395452614,"",0.0224668397382869,3.80666248977032,9.22413395452614
